ta,specID,contingency,study,noswitches,ids,order,order_exact,order_first,order_second,order_third,m1_BIC,m2_BIC,m3_BIC,m1m1_diff,m1m2_diff,m1m3_diff,m2m1_diff,m2m2_diff,m2m3_diff,m3m1_diff,m3m2_diff,m3m3_diff,MF_diff,MF_diff_w
34,m01_v2,75/25,2,5,m01,1,,,,,-103.834599809384,-103.865833338412,-112.463324737346,0,0.0312335290279435,8.62872492796275,-0.0312335290279435,0,8.59749139893481,-8.62872492796275,-8.59749139893481,0,4.32997922849535,8.51348850032669
39,m08_v2,75/25,2,64,m08,1,,,,,-242.689464063803,-237.261843485685,-259.7807240265,0,-5.42762057811777,17.0912599626975,5.42762057811777,0,22.5188805408152,-17.0912599626975,-22.5188805408152,0,5.83181969228986,17.0909698087907
40,m14_v2,75/25,2,6,m14,1,,,,,19.9024064544649,21.6461870220948,23.9111728049592,0,-1.74378056762993,-4.00876635049434,1.74378056762993,0,-2.26498578286441,4.00876635049434,2.26498578286441,0,-2.87627345906213,-2.29576063818892
50,m22_v2,75/25,2,3,m22,1,,,,,-146.074462755089,-152.345683882023,-166.788964012432,0,6.27122112693431,20.7145012573426,-6.27122112693431,0,14.4432801304083,-20.7145012573426,-14.4432801304083,0,13.4928611921385,20.7039566545977
45,m26_v2,75/25,2,0,m26,1,,,,,-618.197094012484,-612.960533962617,-580.141429705516,0,-5.23656004986651,-38.0556643069676,5.23656004986651,0,-32.8191042571011,38.0556643069676,32.8191042571011,0,-21.6461121784171,-5.23656250202623
30,m27_v2,75/25,2,66,m27,1,,,,,-47.656824277635,-42.4205899666836,-90.1431696811212,0,-5.2362343109514,42.4863454034863,5.2362343109514,0,47.7225797144377,-42.4863454034863,-47.7225797144377,0,18.6250555462674,42.4863454014166
42,m29_v2,75/25,2,40,m29,1,,,,,-483.442456429805,-570.337304355435,-511.76782572225,0,86.8948479256298,28.3253692924445,-86.8948479256298,0,-58.5694786331853,-28.3253692924445,58.5694786331853,0,57.6101086090372,86.8948479256186
33,m34_v2,75/25,2,9,m34,1,,,,,-208.02727876654,-218.946569237545,-224.18949864981,0,10.9192904710056,16.1622198832705,-10.9192904710056,0,5.24292941226491,-16.1622198832705,-5.24292941226491,0,13.540755177138,15.8069081336457
44,m39_v2,75/25,2,3,m39,1,,,,,-34.6548873311749,-29.3925134047787,-45.0069723587739,0,-5.26237392639623,10.3520850275989,5.26237392639623,0,15.6144589539952,-10.3520850275989,-15.6144589539952,0,2.54485555060136,10.345735906192
33,m40_v2,75/25,2,1,m40,1,,,,,-273.249695473695,-292.363079619953,-268.298084695586,0,19.1133841462588,-4.95161077810889,-19.1133841462588,0,-24.0649949243677,4.95161077810889,24.0649949243677,0,7.08088668407493,19.1132410145223
29,m41_v2,75/25,2,7,m41,1,,,,,-251.960563541738,-274.462125888035,-267.497917011794,0,22.5015623462971,15.5373534700559,-22.5015623462971,0,-6.96420887624123,-15.5373534700559,6.96420887624123,0,19.0194579081765,22.2938497662961
